sensor_060,sensor_104,sensor_511,sensor_349,sensor_022,sensor_029,sensor_437,sensor_130,sensor_125,sensor_296,sensor_317,sensor_301,sensor_126,sensor_295,sensor_027,sensor_034,sensor_080,sensor_453,sensor_131,sensor_065,sensor_128,sensor_023,sensor_124,sensor_520,sensor_438,sensor_015,sensor_134,sensor_388,sensor_558,sensor_057,sensor_201,sensor_461,sensor_064,sensor_472,sensor_456,sensor_478,sensor_059,sensor_077,sensor_469,sensor_366,sensor_127,sensor_512,sensor_066,sensor_091,sensor_338,sensor_470,sensor_039,sensor_033,sensor_570,sensor_069,result
-1.7264,-0.0042,64.6707,0.0215,-5419.0,64.2333,3.1158,-0.0473,15.93,398.3185,6.2698,0.0462,0.8656,418.1363,1.773,9.5126,-0.0083,5.9396,0.7243,21.7264,0.4098,2916.5,15.94,,3.1136,7.9558,1000.7263,0.0,1.0297,0.9317,10.3,29.9394,16.1445,9.7752,2.3106,5.8142,4.7057,-0.0206,311.6377,0.017,3.353,0.0,29.5367,8671.9301,1.5989,5.7277,86.9555,83.3971,,148.6009,양품
0.8073,-0.0045,141.4365,0.0142,-5441.5,68.4222,1.6779,-0.0946,15.88,26.5879,5.6522,0.0591,0.8703,233.9865,2.0143,9.7997,-0.0358,5.1072,0.8122,19.1927,0.4138,2604.25,15.91,,3.2153,10.1548,998.1081,0.0,1.7819,0.9324,8.02,40.4475,10.9036,10.2211,2.2568,5.8042,4.682,-0.0198,463.2883,0.0053,2.771,0.0,27.6301,8407.0299,1.1506,5.5652,87.5241,84.9052,,154.3709,양품
23.8245,-0.0026,240.7767,0.0105,-5447.75,67.1333,0.8972,-0.1892,15.95,329.6406,5.7247,0.0326,0.8798,251.4536,2.0295,8.659,-0.0054,4.8795,0.8194,16.1755,0.4777,2701.75,15.94,36.9067,3.1281,9.5157,998.444,0.0,1.1386,0.9139,16.73,32.3594,11.3019,8.3977,3.1182,9.1221,4.5873,-0.0326,21.3645,0.0054,3.094,244.2748,24.2829,9317.1698,1.5481,5.4178,84.7327,84.7569,68.8489,145.8,불량
24.3791,-0.0059,113.5593,0.0407,-5468.25,62.9333,1.3671,0.2838,15.59,157.0889,5.444,0.0465,1.366,415.5048,2.0038,8.6789,0.0676,4.468,0.7244,15.6209,0.5176,2648.25,15.61,4.12,2.7013,9.6052,980.451,0.0,54.2917,0.9139,13.56,27.6824,13.5597,9.1494,3.0744,6.4746,4.5873,-0.0461,24.2831,0.0046,2.48,0.0,23.4736,8205.7,1.7317,6.5291,86.6867,84.9105,25.0363,147.6545,양품
-12.2945,-0.0045,148.0663,0.0246,-5476.25,62.8333,1.5533,-0.5677,15.71,128.0296,4.8956,0.0476,0.946,319.1252,1.9912,8.7677,0.0034,4.3131,0.778,32.2945,0.5328,2635.25,15.73,,6.2069,10.5661,993.1274,0.0,2.5014,0.9298,19.77,30.8924,21.9782,7.4365,4.7756,6.1979,4.6414,0.0183,44.898,0.0063,3.027,0.0,44.1498,9014.46,1.6216,4.4384,86.1468,86.3269,,146.6636,양품
28.2955,-0.0052,68.7351,0.0166,-6058.0,62.3778,1.4752,-0.0946,15.88,384.6101,5.5901,0.0203,0.8703,982.8228,1.7775,9.6484,-0.0026,5.4679,0.8122,11.7045,0.4138,2953.75,15.91,4.6687,2.7253,8.6617,998.1081,0.0,2.0541,0.9316,21.78,42.8261,7.618,9.0384,4.7579,8.5143,4.6275,-0.055,23.3606,0.0095,2.771,622.2222,18.3685,7869.7,1.9589,6.7233,87.0273,85.4233,22.5598,144.6982,양품
2.1109,-0.0042,159.5238,0.0177,-6154.0,60.8,4.2602,-0.4731,15.84,276.541,4.9162,0.0578,0.8089,1000.9579,1.7715,9.1502,-0.0154,5.1876,0.7589,17.8891,0.4162,2691.75,15.89,,4.9342,9.035,995.1991,0.0,1.2077,0.9324,14.05,23.6929,12.74,10.4319,2.1894,8.8016,4.682,-0.0132,162.4892,0.0062,2.854,748.3871,26.2754,9238.3601,0.8887,4.9878,86.374,87.1543,,152.3582,양품
29.1309,-0.0057,79.1209,0.0216,-5395.5,67.3,1.4888,0.7096,15.8,151.6605,4.8066,0.0513,0.7568,106.4973,1.9893,8.7289,0.0002,3.881,0.7863,10.8691,0.3273,2551.75,15.86,13.823,2.8232,13.6872,992.8298,0.0,1.029,0.9316,12.63,8.9488,5.5936,9.6785,4.9943,11.8759,4.6275,-0.0594,16.2027,0.0089,2.645,0.0,15.3094,9117.3699,1.4892,6.8585,86.7493,83.8887,23.6052,144.3255,양품
26.9791,-0.0048,138.5827,0.0103,-4196.5,62.8,134.0243,0.7096,15.8,1377.7589,4.3824,1.5118,0.7568,2803.1611,1.323,9.6234,-0.0047,3.4767,0.7863,13.0209,0.3273,2059.5,15.86,6.5964,3.8217,12.6837,992.8298,0.0,1.8374,0.9316,16.32,37.6287,8.8612,9.0916,4.2888,4.9673,4.6275,-0.0523,18.8665,0.0077,2.645,395.2941,19.9475,8615.27,1.5156,5.2798,86.9476,85.4274,18.212,144.5455,양품
28.3118,-0.0073,86.0068,0.0317,-5357.5,67.0333,0.7098,0.7096,15.8,392.7259,4.9838,0.0102,0.7568,354.072,1.778,8.7289,0.0102,4.1309,0.7863,11.6882,0.3273,2872.5,15.86,7.9931,3.7295,12.4278,992.8298,0.0,1.4788,0.9316,5.58,22.155,6.8983,13.4911,4.8592,16.9701,4.6275,-0.0506,21.8283,0.0114,2.645,0.0,18.1525,9126.72,1.9743,4.07,86.7493,83.8887,5.8617,147.1409,양품
