sensor_060,sensor_104,sensor_511,sensor_349,sensor_022,sensor_029,sensor_437,sensor_130,sensor_125,sensor_296,sensor_317,sensor_301,sensor_126,sensor_295,sensor_027,sensor_034,sensor_080,sensor_453,sensor_131,sensor_065,result
-1.7264,-0.0042,64.6707,0.0215,-5419.0,64.2333,3.1158,-0.0473,15.93,398.3185,6.2698,0.0462,0.8656,418.1363,1.773,9.5126,-0.0083,5.9396,0.7243,21.7264,양품
0.8073,-0.0045,141.4365,0.0142,-5441.5,68.4222,1.6779,-0.0946,15.88,26.5879,5.6522,0.0591,0.8703,233.9865,2.0143,9.7997,-0.0358,5.1072,0.8122,19.1927,양품
23.8245,-0.0026,240.7767,0.0105,-5447.75,67.1333,0.8972,-0.1892,15.95,329.6406,5.7247,0.0326,0.8798,251.4536,2.0295,8.659,-0.0054,4.8795,0.8194,16.1755,불량
24.3791,-0.0059,113.5593,0.0407,-5468.25,62.9333,1.3671,0.2838,15.59,157.0889,5.444,0.0465,1.366,415.5048,2.0038,8.6789,0.0676,4.468,0.7244,15.6209,양품
-12.2945,-0.0045,148.0663,0.0246,-5476.25,62.8333,1.5533,-0.5677,15.71,128.0296,4.8956,0.0476,0.946,319.1252,1.9912,8.7677,0.0034,4.3131,0.778,32.2945,양품
28.2955,-0.0052,68.7351,0.0166,-6058.0,62.3778,1.4752,-0.0946,15.88,384.6101,5.5901,0.0203,0.8703,982.8228,1.7775,9.6484,-0.0026,5.4679,0.8122,11.7045,양품
2.1109,-0.0042,159.5238,0.0177,-6154.0,60.8,4.2602,-0.4731,15.84,276.541,4.9162,0.0578,0.8089,1000.9579,1.7715,9.1502,-0.0154,5.1876,0.7589,17.8891,양품
29.1309,-0.0057,79.1209,0.0216,-5395.5,67.3,1.4888,0.7096,15.8,151.6605,4.8066,0.0513,0.7568,106.4973,1.9893,8.7289,0.0002,3.881,0.7863,10.8691,양품
26.9791,-0.0048,138.5827,0.0103,-4196.5,62.8,134.0243,0.7096,15.8,1377.7589,4.3824,1.5118,0.7568,2803.1611,1.323,9.6234,-0.0047,3.4767,0.7863,13.0209,양품
28.3118,-0.0073,86.0068,0.0317,-5357.5,67.0333,0.7098,0.7096,15.8,392.7259,4.9838,0.0102,0.7568,354.072,1.778,8.7289,0.0102,4.1309,0.7863,11.6882,양품
