wafer_id,Time,BCl3 Flow,Cl2 Flow,RF Btm Pwr,RF Btm Rfl Pwr,Endpt A,He Press,Pressure,RF Tuner,RF Load,RF Phase Err,RF Pwr,RF Impedance,TCP Tuner,TCP Phase Err,TCP Impedance,TCP Top Pwr,TCP Rfl Pwr,TCP Load,Vat Valve,result
l2901.txm,11.946,751.0,753.0,132.0,0.0,626.0,100.0,1227.0,9408.0,9019.0,-362.0,26.0,16599.0,20028.0,-296.0,16848.0,360.0,0.0,27594.0,49.0,Pass
l2901.txm,13.028,751.0,753.0,134.0,0.0,620.0,99.0,1229.0,9431.0,9029.0,-1455.0,26.0,16568.0,20042.0,-676.0,16796.0,350.0,0.0,27440.0,49.0,Pass
l2901.txm,14.049,751.0,755.0,134.0,0.0,599.0,102.0,1221.0,9389.0,9114.0,-1056.0,25.0,16442.0,20146.0,-291.0,16512.0,344.0,0.0,27276.0,49.0,Pass
l2901.txm,15.1329,751.0,753.0,133.0,0.0,586.0,100.0,1201.0,9445.0,9031.0,-587.0,25.0,16960.0,20148.0,-262.0,17020.0,352.0,0.0,27330.0,50.0,Pass
l2901.txm,16.139,751.0,754.0,132.0,0.0,587.0,102.0,1182.0,9456.0,9043.0,-124.0,25.0,16564.0,20226.0,-547.0,16440.0,346.0,0.0,27262.0,50.0,Pass
l2901.txm,17.1589,751.0,753.0,134.0,0.0,1284.0,101.0,1144.0,9406.0,9086.0,-417.0,25.0,16437.0,19478.0,1738.0,17366.0,350.0,1.0,28178.0,49.0,Pass
l2901.txm,18.2579,751.0,753.0,132.0,0.0,1627.0,100.0,1171.0,9405.0,9091.0,-1661.0,26.0,16352.0,19544.0,-13.0,16130.0,346.0,1.0,27560.0,48.0,Pass
l2901.txm,19.309,751.0,753.0,134.0,0.0,1624.0,101.0,1194.0,9421.0,9066.0,-1189.0,25.0,16341.0,19590.0,452.0,16428.0,354.0,0.0,27974.0,48.0,Pass
l2901.txm,20.42,751.0,753.0,135.0,1.0,1457.0,100.0,1198.0,9384.0,9144.0,1343.0,24.0,16642.0,19416.0,-455.0,16964.0,356.0,0.0,27906.0,48.0,Pass
l2901.txm,21.449,751.0,754.0,135.0,0.0,1338.0,102.0,1194.0,9410.0,9009.0,-1016.0,25.0,16257.0,19614.0,1158.0,16350.0,354.0,0.0,27750.0,49.0,Pass
l2901.txm,22.469,751.0,753.0,134.0,0.0,1503.0,100.0,1171.0,9424.0,9056.0,-1807.0,25.0,16494.0,19452.0,1234.0,17038.0,343.0,0.0,27892.0,49.0,Pass
l2901.txm,23.558,751.0,754.0,134.0,0.0,1519.0,101.0,1192.0,9386.0,9097.0,-1027.0,25.0,16422.0,19438.0,136.0,16234.0,358.0,0.0,27890.0,48.0,Pass
l2901.txm,24.6489,751.0,753.0,133.0,0.0,1533.0,101.0,1185.0,9461.0,9045.0,42.0,24.0,16623.0,19424.0,-278.0,16724.0,354.0,0.0,27838.0,49.0,Pass
l2901.txm,25.6689,751.0,753.0,139.0,0.0,1535.0,99.0,1186.0,9412.0,9077.0,-1584.0,25.0,16730.0,19448.0,87.0,16852.0,346.0,0.0,27856.0,49.0,Pass
l2901.txm,26.689,752.0,753.0,136.0,0.0,1545.0,101.0,1186.0,9432.0,9091.0,-920.0,25.0,16535.0,19468.0,-307.0,16690.0,343.0,0.0,27856.0,49.0,Pass
l2901.txm,27.715,751.0,753.0,133.0,0.0,1565.0,100.0,1187.0,9413.0,9070.0,-356.0,25.0,16424.0,19464.0,-42.0,16708.0,349.0,1.0,27850.0,49.0,Pass
l2901.txm,28.7369,751.0,753.0,132.0,0.0,1580.0,100.0,1187.0,9396.0,9069.0,-452.0,25.0,16484.0,19478.0,194.0,16566.0,348.0,0.0,27862.0,49.0,Pass
l2901.txm,29.861,752.0,754.0,136.0,0.0,1592.0,101.0,1187.0,9431.0,9097.0,-1423.0,24.0,16701.0,19454.0,89.0,15744.0,358.0,1.0,27858.0,49.0,Pass
l2901.txm,30.834,752.0,753.0,135.0,0.0,1599.0,100.0,1184.0,9407.0,9071.0,-931.0,24.0,16539.0,19360.0,692.0,16184.0,353.0,0.0,27866.0,49.0,Pass
l2901.txm,31.853,752.0,753.0,141.0,0.0,1607.0,100.0,1184.0,9383.0,9136.0,-1194.0,24.0,16532.0,19360.0,129.0,16856.0,351.0,0.0,27898.0,49.0,Pass
l2901.txm,32.8829,752.0,753.0,133.0,0.0,1602.0,101.0,1185.0,9399.0,9044.0,-832.0,24.0,16781.0,19372.0,498.0,16474.0,353.0,1.0,27900.0,49.0,Pass
l2901.txm,33.9089,752.0,753.0,133.0,0.0,1611.0,101.0,1186.0,9444.0,9032.0,-706.0,24.0,16564.0,19358.0,129.0,16764.0,357.0,0.0,27920.0,49.0,Pass
